,0,1
0,1252595919226392576,"RT @cognitivediss00: @realDonaldTrump @joebiden does not care about black people, and Democrats @dnc never have. Supported 19 MILLION abort…"
1,1252595777135882245,"RT @cognitivediss00: @realDonaldTrump @joebiden does not care about black people, and Democrats @dnc never have. Supported 19 MILLION abort…"
2,1252595367436267522,RT @kilonova_gold: I am on #TeamJoe because he will promptly re-staff our decimated federal agencies with qualified and capable people. Use…
3,1252595334393585665,"RT @Greg_Palast: In 2016, 512,696 mail-in ballots were rejected‚ that’s the official figure from the Elections Assistance Commission. And t…"
4,1252595262800793601,"RT @2020_lincoln: When I am president, I will always share my steak with you, just like my brother shares with me.  #beefitswhatsfordinner…"
5,1252595174871633922,RT @Christo41833202: It’s mind boggling that a country that boasts about the power of its democracy and its place in the world order has a…
6,1252594905203068930,RT @WarRoom2020: Bannon: Mark Cuban is an ‘Entrepreneurial Populist’ #Election2020 https://t.co/naZ8i8rybC
7,1252594489635430400,"RT @cognitivediss00: @realDonaldTrump @joebiden does not care about black people, and Democrats @dnc never have. Supported 19 MILLION abort…"
8,1252594249247469568,"RT @H2OEcologist: 👇👇👇 What does the religious right see in him?
#ByeDon #Election2020
https://t.co/4ls27PMSXW"
9,1252593832371326976,"RT @donsmalley79: I bet there won't be a live debate  
""There's no debate! Trump has to go!  They will say
#fakenews #joebiden #PedoJoe #pl…"
10,1252593813408923651,"RT @deepen915: #Election2020 #CongressionalBallot
🌊🇺🇲
Democrat: 46% (+11)
Republican: 35%

April 16-18 | 1,200 Registered Voters
RMG Resear…"
11,1252593697566281728,"RT @ErinHott: What are you doing Wednesday, 4/22 at 7 PM MST? You're invited to join me for a Facebook Live to learn more about the @Health…"
12,1252593654490898437,"RT @ConstitutionCtr: Are America’s presidential elections in need of reform?
 
On April 23, @rickhasen and @Nedfoley join a virtual #Americ…"
13,1252593465973780482,"RT @H2OEcologist: 👇👇👇 What does the religious right see in him?
#ByeDon #Election2020
https://t.co/4ls27PMSXW"
14,1252593459166277632,"RT @SewuBem: A Look at Iranian Newspaper Front Pages on April 21, the Islamic Republic of Iran seems to be Obsessed with US... details : ht…"
15,1252592505364701187,"RT @deepen915: #Election2020 #CongressionalBallot
🌊🇺🇲
Democrat: 46% (+11)
Republican: 35%

April 16-18 | 1,200 Registered Voters
RMG Resear…"
16,1252592483634118656,"RT @H2OEcologist: 👇👇👇 What does the religious right see in him?
#ByeDon #Election2020
https://t.co/4ls27PMSXW https://t.co/8epNatuVwg"
17,1252592462125772801,RT @klg60355490: NYT:  Joe Biden is $187 million dollars behind Trump in fund-raising.  Think of all the lovely ads Trump and the RNC can b…
18,1252592436364353537,RT @mediaguy44: Is Joe Biden Troubled … or Teflon?  #Election2020 https://t.co/wWFQEGAgjq
19,1252592389065191425,RT @Vic_Stone1: The Texas Democratic Party plans to mail voter registration applications and pre-paid envelopes to everyone wishing to vote…
20,1252592300955443206,RT @fulcrum_us: Join us on April 22 to talk about what can get done in time to make this election smoother in the face of the #coronavirus.…
21,1252592018188128256,"RT @donsmalley79: I bet there won't be a live debate  
""There's no debate! Trump has to go!  They will say
#fakenews #joebiden #PedoJoe #pl…"
22,1252591755100372995,"RT @H2OEcologist: 👇👇👇 What does the religious right see in him?
#ByeDon #Election2020
https://t.co/4ls27PMSXW https://t.co/8epNatuVwg"
23,1252591685625757698,"RT @HHypocrisy101: Good evening all you USA patriots!

It's been an up-and-down, turbulent fustercluck of a month, and I don't need to tell…"
24,1252591409699454977,"RT @DrThomasPaul: ""A list"" celebs are high level criminals who are paid by #BigPharma and nefarious groups who want to program and harm you…"
25,1252591060490113030,RT @jmsexton_: Trump readily admits @CNN @MSNBC and @FOXNews are providing him free TV time to promote himself and his re-election. Why?  #…
26,1252590222971412484,"RT @cognitivediss00: @realDonaldTrump @joebiden does not care about black people, and Democrats @dnc never have. Supported 19 MILLION abort…"
27,1252589349620928512,RT @DonaldJTrumpJr: If anyone doesn’t believe this is the beginning of social media’s further attempt to silence conservative voices and in…
28,1252589270667272194,RT @realgwjoy: The #WuHanFlu really kills only about 2 people per thousand. #coronavirus is the #DeepState #NuclearOption to #election2020…
29,1252588952621637632,RT @WarRoom2020: Bannon: Mark Cuban is an ‘Entrepreneurial Populist’ #Election2020 https://t.co/naZ8i8rybC
30,1252588885663719427,RT @sonyaharris_: @daniels76678940 #vote #election2020 #Biden2020 #Biden #polls #wsj #NBC #COVID19 #COVIDIOT #COVIDー19 #STAYatHOMEwithTWICE…
31,1252588846258122752,"RT @ErinHott: What are you doing Wednesday, 4/22 at 7 PM MST? You're invited to join me for a Facebook Live to learn more about the @Health…"
32,1252588266689302528,"RT @ConstitutionCtr: Are America’s presidential elections in need of reform?
 
On April 23, @rickhasen and @Nedfoley join a virtual #Americ…"
33,1252587915307298816,RT @HHypocrisy101: After the quickness with which these #stimuluspackage2020 payments have been making their way to those suffering from pl…
